teammember_ID,name,hourly_wage,opening_closing,fulltime_parttime,hire_date
514926,John Smith,42.43,3,0,20150602
137420,Anna Johnson,34.63,3,1,20001219
143542,Emily Davis,22.35,3,0,20050112
157756,Sarah Miller,47.17,0,0,20051113
180037,David Taylor,44.67,3,0,20051104
191342,John Miller,45.82,0,0,20200311
223323,Sarah Brown,16.33,2,0,20211030
241262,John Doe,33.03,0,0,20031227
247536,John Taylor,23.63,3,1,20000710
278700,Michael Davis,39.18,1,0,20061027
310279,Jane Doe,39.54,2,0,20051202
310574,Jane Davis,19.96,1,0,20110416
312486,Chris Brown,17.28,3,1,20101105
315444,Sarah Davis,24.08,1,0,20130326
332388,David Miller,29.12,3,1,20150805
333675,Sarah Johnson,46.14,3,1,20020820
353329,Michael Davis,22.23,3,1,20000702
430221,Emily Brown,39.52,0,0,20041103
447263,David Wilson,38.71,0,0,20010521
449746,Emily Brown,49.3,3,1,20011125
450923,Jane Taylor,48.87,3,0,20100917
480172,Anna Davis,44.0,1,0,20120330
490056,David Doe,48.51,3,1,20020321
504239,Chris Miller,37.96,3,0,20000510
526511,Jane Wilson,20.84,3,1,20160614
535309,Michael Wilson,19.57,0,0,20080221
599089,Anna Taylor,25.83,3,0,20130805
628220,David Davis,36.08,2,0,20031120
638066,Anna Miller,34.36,3,1,20200811
641069,John Doe,19.52,3,0,20130622
682424,John Taylor,22.09,3,1,20130323
685546,Emily Wilson,41.0,0,0,20120313
689531,Chris Doe,21.72,2,0,20101228
691785,John Davis,31.45,3,1,20041205
709359,Anna Johnson,22.85,3,1,20010208
752711,Anna Johnson,34.4,2,0,20140417
755654,David Johnson,46.21,3,1,20090131
786935,Emily Taylor,46.45,3,0,20030913
797082,Jane Brown,23.55,3,0,20210317
820349,Jane Brown,17.78,3,0,20211210
833495,John Miller,41.33,3,1,20090523
836538,Anna Davis,46.45,3,1,20110924
849369,Chris Taylor,20.78,3,1,20150623
874632,Jane Johnson,39.85,1,0,20090331
885296,Emily Taylor,30.16,0,0,20180919
902054,Michael Taylor,37.53,1,0,20201011
913094,David Davis,46.03,3,1,20000817
951657,Anna Wilson,41.9,3,0,20021105
973406,Anna Davis,38.14,3,1,20000205
979665,David Johnson,28.04,0,0,20030105
